id,tourney_id,map,start_time,duration
0,1,Metropolis,2012-11-16 17:00:00,1.0
1,2,Foundry,2012-11-17 02:00:00,1.0
2,3,Orbital,2012-11-18 16:00:00,1.0
3,4,Rocks and Swamp,2012-11-21 16:00:00,1.0
4,5,Crazy Maze,2012-11-24 04:00:00,1.0
5,6,Desert,2012-11-24 19:00:00,2.0
6,7,Castles,2012-11-29 16:00:00,1.0
7,8,Rocks and Swamp,2012-12-01 21:00:00,2.0
8,9,Crazy Maze,2012-12-05 22:00:00,1.0
9,10,Appaloosa Land,2012-12-08 19:00:00,1.0
10,11,Desert,2012-12-09 00:00:00,1.0
11,12,Iceland,2012-12-13 18:00:00,1.0
12,13,Deep Six,2012-12-14 23:00:00,1.0
13,14,Levels,2012-12-16 16:00:00,2.0
14,15,Metropolis,2012-12-17 22:00:00,1.0
15,16,Crazy Waters,2012-12-21 22:00:00,2.0
16,17,Atlantis,2012-12-23 19:00:00,1.0
17,18,Desert,2012-12-24 09:00:00,1.0
18,19,Orbital,2012-12-25 03:00:00,1.0
19,20,The Nile,2012-12-25 22:00:00,1.0
20,21,Levels,2012-12-27 15:00:00,1.0
21,22,Aquarium,2012-12-28 23:00:00,1.0
22,23,The Pit,2012-12-29 21:00:00,1.0
23,24,Rocks and Swamp,2013-01-02 18:00:00,1.0
24,25,Foundry,2013-01-02 22:00:00,1.0
25,26,Crazy Maze,2013-01-05 18:00:00,2.0
26,27,Appaloosa Land,2013-01-06 06:00:00,1.0
27,28,Castles,2013-01-09 17:00:00,1.0
28,29,Desert,2013-01-12 06:00:00,2.0
29,30,Iceland,2013-01-13 18:00:00,2.0
30,31,Levels,2013-01-15 17:00:00,1.0
31,32,Metropolis,2013-01-19 18:00:00,1.0
32,33,Crazy Waters,2013-01-20 00:00:00,1.0
33,34,Atlantis,2013-01-23 20:00:00,1.0
34,35,The Nile,2013-01-26 19:00:00,1.0
35,36,Aquarium,2013-01-27 03:00:00,2.0
36,37,Desert,2013-01-30 15:00:00,1.0
37,38,Iceland,2013-02-02 08:00:00,1.0
38,39,Rocks and Swamp,2013-02-02 17:00:00,1.0
39,40,Deep Six,2013-02-03 19:00:00,2.0
40,41,Metropolis,2013-02-07 19:00:00,1.0
41,42,Crazy Waters,2013-02-09 03:00:00,1.0
42,43,Atlantis,2013-02-10 18:00:00,1.0
43,44,Aquarium,2013-02-11 22:00:00,1.0
44,45,Desert,2013-02-15 01:00:00,1.0
45,46,The Pit,2013-02-15 22:00:00,1.0
46,47,Elements,2013-02-17 06:00:00,1.0
47,48,Foundry,2013-02-20 20:00:00,1.0
48,49,Orbital,2013-02-22 22:00:00,2.0
49,50,Crazy Maze,2013-02-24 15:00:00,1.0
50,51,Appaloosa Land,2013-02-27 00:00:00,1.0
51,52,Tron,2013-03-02 13:00:00,1.0
52,53,Castles,2013-03-02 21:00:00,2.0
53,54,Desert,2013-03-05 20:00:00,1.0
54,55,Iceland,2013-03-08 22:00:00,1.0
55,56,Deep Six,2013-03-10 05:00:00,1.0
56,57,Levels,2013-03-13 22:00:00,1.0
57,58,Metropolis,2013-03-15 23:00:00,1.0
58,59,Crazy Waters,2013-03-17 03:00:00,1.0
59,60,Atlantis,2013-03-20 17:00:00,1.0
60,61,The Nile,2013-03-23 10:00:00,1.0
61,62,Aquarium,2013-03-24 16:00:00,1.0
62,63,The Pit,2013-03-26 19:00:00,1.0
63,64,Rocks and Swamp,2013-03-29 10:00:00,1.0
64,65,Elements,2013-03-30 16:00:00,1.0
65,66,Orbital,2013-03-31 00:00:00,1.0
66,67,Desert,2013-04-03 20:00:00,1.0
67,68,Rocks and Swamp,2013-04-06 04:00:00,1.0
68,69,Crazy Maze,2013-04-07 13:00:00,1.0
69,70,Appaloosa Land,2013-04-10 20:00:00,1.0
70,71,Castles,2013-04-13 17:00:00,1.0
71,72,Desert,2013-04-14 16:00:00,1.0
72,73,Iceland,2013-04-16 19:00:00,1.0
73,74,Deep Six,2013-04-19 23:00:00,1.0
74,75,Levels,2013-04-21 01:00:00,1.0
75,76,Metropolis,2013-04-23 22:00:00,1.0
76,77,Crazy Waters,2013-04-26 21:00:00,1.0
77,78,Aquarium,2013-04-28 04:00:00,1.0
78,79,Rocks and Swamp,2013-05-04 15:00:00,1.0
79,80,Crazy Maze,2013-05-04 20:00:00,2.0
80,81,Appaloosa Land,2013-05-07 20:00:00,1.0
81,82,Castles,2013-05-11 04:00:00,1.0
82,83,Desert,2013-05-11 22:00:00,2.0
83,84,Deep Six,2013-05-16 19:00:00,1.0
84,85,Levels,2013-05-18 05:00:00,1.0
85,86,Metropolis,2013-05-18 22:00:00,2.0
86,87,Crazy Waters,2013-05-21 19:00:00,1.0
87,88,Atlantis,2013-05-25 17:00:00,2.0
88,89,The Nile,2013-05-26 03:00:00,2.0
89,90,Aquarium,2013-05-29 20:00:00,1.0
90,91,Desert,2013-06-01 12:00:00,1.0
91,92,The Pit,2013-06-02 02:00:00,2.0
92,93,Elements,2013-06-05 21:00:00,1.0
93,94,Foundry,2013-06-07 22:00:00,2.0
94,95,Orbital,2013-06-09 18:00:00,1.0
95,96,Rocks and Swamp,2013-06-12 20:00:00,1.0
