id,number,color,rank,3,tank_id,tank_name,tourney_id
0,1,red,major,,1490,FIRE,1
1,2,purple,captain,,505,Krusty The Clown,1
2,3,red,captain,,1494,VALOR,1
3,4,red,captain,,660,--Divinity--,1
4,5,purple,captain,,504,Homer J Simpson,1
5,6,purple,captain,,550,ThE HumaN AbstracT,1
6,7,red,captain,,788,FAITH,1
7,8,orange,lieutenant,,642,ELEGANCE,1
8,9,orange,lieutenant,,1470,wenn doch nur,1
9,10,blue,lieutenant,,747,Mr Snicker,1
10,11,orange,lieutenant,,1123,rainfall,1
11,12,orange,lieutenant,,580,- Iodine -,1
12,13,blue,lieutenant,,989,D E A D L I N E,1
13,14,orange,lieutenant,,558,- Titanium -,1
14,15,blue,lieutenant,,539,BlueGhost,1
15,16,red,lieutenant,,1495,starrrrrphissssh,1
16,17,red,lieutenant,,523,PRIDE,1
17,18,blue,lieutenant,,760,Thundercracker,1
18,19,blue,lieutenant,,746,Optimus Prime,1
19,20,orange,lieutenant,,1329,EASTBAY,1
20,21,red,lieutenant,,1062,Omega Red X,1
21,22,red,lieutenant,,1471,SGT SLAUGHTER,1
22,23,red,lieutenant,,1034,IM GONNA SMOKE YOU,1
23,24,purple,sergeant,,1343,xXxBIGBADDOGxXx,1
24,25,orange,corporal,,1370,NiggaTron,1
25,1,purple,captain,,1035,Marge Simpson,2
26,2,purple,captain,,658,Minion,2
27,3,blue,captain,,539,BlueGhost,2
28,4,orange,captain,,655,PENETRATION,2
29,5,purple,captain,,501,Eva is Back,2
30,6,blue,captain,,891,ENCHANTED,2
31,7,orange,captain,,572,- Phosphorus -,2
32,8,purple,lieutenant,,1486,MERCY,2
33,9,orange,lieutenant,,1504,TOPDAWG CONGLOMERATE,2
34,10,red,lieutenant,,646,- GreeN GobliN -,2
35,11,red,lieutenant,,741,Shockwave,2
36,12,purple,lieutenant,,504,Homer J Simpson,2
37,13,red,lieutenant,,660,--Divinity--,2
38,14,blue,lieutenant,,1003,Hot Rod,2
39,15,blue,lieutenant,,550,ThE HumaN AbstracT,2
40,16,blue,lieutenant,,1038,- Anima -,2
41,17,red,lieutenant,,788,FAITH,2
42,18,purple,lieutenant,,571,TeNaCiTy,2
43,19,red,lieutenant,,1143,Bobo,2
44,20,red,lieutenant,,555,Vapor,2
45,21,blue,lieutenant,,1501,Hamas al-Qassam,2
46,22,blue,lieutenant,,592,BLASPHEMY,2
47,23,purple,lieutenant,,1498,BahhhRammmYooo,2
48,24,purple,lieutenant,,749,Megatron,2
49,25,orange,lieutenant,,558,- Titanium -,2
50,1,purple,captain,,505,Krusty The Clown,3
51,2,blue,captain,,550,ThE HumaN AbstracT,3
52,3,red,captain,,788,FAITH,3
53,4,blue,captain,,825,Rampage,3
54,5,purple,captain,,504,Homer J Simpson,3
55,6,red,captain,,1029,PITBULL,3
56,7,red,captain,,660,--Divinity--,3
57,8,red,captain,,1518,Budweiser,3
58,9,red,lieutenant,,671,ENDURANCE,3
59,10,purple,lieutenant,,523,PRIDE,3
60,11,red,lieutenant,,555,Vapor,3
61,12,red,lieutenant,,509,Warrior,3
62,13,orange,lieutenant,,931,BRAVERY,3
63,14,orange,lieutenant,,529,ASSAULT,3
64,15,purple,lieutenant,,1268,Ned Flanders,3
65,16,purple,lieutenant,,506,weekend nachos,3
66,17,red,lieutenant,,1345,RED HEAT,3
67,18,blue,sergeant,,844,K-K,3
68,19,orange,sergeant,,1211,Blue Baron,3
69,20,purple,sergeant,,696,Milhouse Van Houten,3
70,21,orange,sergeant,,1504,TOPDAWG CONGLOMERATE,3
71,22,blue,corporal,,1519,Jeru Da Damaja,3
72,23,blue,corporal,,1072,Oh-Oh,3
73,24,red,corporal,,1,red-1,3
74,25,red,corporal,,2,red-2,3
75,1,purple,major,,646,- GreeN GobliN -,4
76,2,red,captain,,583,PERFECTION,4
77,3,purple,captain,,1268,Ned Flanders,4
78,4,orange,captain,,575,- Mercury -,4
79,5,red,captain,,1594,Dont Frog Me,4
80,6,red,captain,,509,Warrior,4
81,7,red,captain,,574,-PiLLoW tAlkS-,4
82,8,red,captain,,1588,RevelatioN,4
83,9,purple,captain,,506,weekend nachos,4
84,10,red,lieutenant,,749,Megatron,4
85,11,purple,lieutenant,,1329,EASTBAY,4
86,12,red,lieutenant,,660,--Divinity--,4
87,13,purple,lieutenant,,703,yewtanks,4
88,14,purple,lieutenant,,571,TeNaCiTy,4
89,15,blue,lieutenant,,543,-Kirby-,4
90,16,orange,lieutenant,,572,- Phosphorus -,4
91,17,blue,lieutenant,,912,Tasha,4
92,18,orange,sergeant,,1583,LegionzS-2,4
93,19,blue,sergeant,,1593,alanna,4
94,20,blue,sergeant,,655,PENETRATION,4
95,21,red,sergeant,,1265,MoranhHalo1,4
96,22,orange,corporal,,1530,- Neon -,4
97,23,red,corporal,,1595,Tank Killer,4
98,24,purple,corporal,,1211,Blue Baron,4
99,25,red,corporal,,1062,Omega Red X,4
100,1,blue,captain,,543,-Kirby-,5
101,2,purple,captain,,504,Homer J Simpson,5
102,3,red,captain,,566,TORNADO 666,5
103,4,orange,captain,,1643,ION DISSONANCE,5
104,5,red,captain,,782,Viper202,5
105,6,purple,lieutenant,,1329,EASTBAY,5
106,7,red,lieutenant,,1661,Tester,5
107,8,red,lieutenant,,1029,PITBULL,5
108,9,orange,lieutenant,,578,- Neptunium -,5
109,10,purple,lieutenant,,1455,B man99,5
110,11,blue,lieutenant,,509,Warrior,5
111,12,orange,lieutenant,,575,- Mercury -,5
112,13,red,lieutenant,,1658,-- ViCiOuS --,5
113,14,orange,lieutenant,,1123,rainfall,5
114,15,orange,lieutenant,,572,- Phosphorus -,5
115,16,orange,lieutenant,,580,- Iodine -,5
116,17,blue,lieutenant,,590,Stars N scarS,5
117,18,red,lieutenant,,547,heathen,5
118,19,orange,lieutenant,,1530,- Neon -,5
119,20,red,lieutenant,,1582,Onslaught,5
120,21,orange,corporal,,1668,JuSt adD wAtEr,5
121,22,blue,corporal,,1667,Destroyer,5
122,23,red,corporal,,1,red-1,5
